term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2016-2018,"Clemens, Jeff ",31,Democrat,Consisted of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S31_5097_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S31/5097,, 11/1/2017,,
2016-2018,"Farmer, Gary M. , Jr.",34,Democrat,Consisted of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S34_5198_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S34/5198,,,,
2016-2018,"Flores, Anitere ",39,Republican,Consisted of Monroe county and part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S39_4783_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S39/4783,President Pro Tempore,,,
2016-2018,"Gainer, George B.",2,Republican,"Consisted of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S02_5190_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S2/5190,,,,
2016-2018,"Galvano, Bill",21,Republican,Consisted of Manatee county and part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S21_5098_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S21/5098,,,,
2016-2018,"Garcia, Rene",36,Republican,Consisted of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S36_4717_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S36/4717,,,,
2016-2018,"Gibson, Audrey",6,Democrat,Consisted of part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S06_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S6/4765,,,,
2016-2018,"Grimsley, Denise",26,Republican,"Consisted of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S26_5099_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S26/5099,,,,
2016-2018,"Hukill, Dorothy L. ",14,Republican,"Consisted of parts of Brevard, Volusia counties",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S14_5102_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S14/5102,,, 10/2/2018,
2016-2018,"Hutson, Travis",7,Republican,"Consisted of Flagler, St. Johns counties and part of Volusia county",https://www.flsenate.gov/PublishedContent/Senators/2016-2018/Photos/S07_5186_Thumbnail.jpg,https://www.flsenate.gov/Senators/2016-2018/S7/5186,,,,
